Input,Case1_LNoise,Case1_HPF(1),Case1_LPF(2),Case1_Kal(3),Case1_HPF_Kal(13),Case1_LPF_Kal(23),Case1_EKF(4),Case1_Label
-0.10384238,-0.0894964,0.314228469,-1.15E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.098151754,-0.083456075,0.319466905,-1.15E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.092432824,-0.077387462,0.324347514,-1.16E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.08668724,-0.071292209,0.32889647,-1.16E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.080916658,-0.065171974,0.333137245,-1.17E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.075122743,-0.05902842,0.337090882,-1.17E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.069307165,-0.05286322,0.34077625,-1.17E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.063471601,-0.046678051,0.344210264,-1.18E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.057617733,-0.040474595,0.347408085,-1.18E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.051747251,-0.034254542,0.350383307,-1.18E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.045861847,-0.028019584,0.353148112,-1.18E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.039963217,-0.021771418,0.355713419,-1.18E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.034053064,-0.015511747,0.358089018,-1.19E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.028133091,-0.009242275,0.360283683,-1.19E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.022205005,-0.002964708,0.362305281,-1.19E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.016270516,0.003319242,0.364160866,-1.19E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.010331335,0.009607864,0.365856765,-1.19E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
-0.004389174,0.015899446,0.367398655,-1.19E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
0.001554251,0.022192273,0.368791631,-1.18E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
0.007497229,0.028484631,0.370040268,-1.18E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.013438045,0.034774807,0.371148681,-1.18E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.019374985,0.041061086,0.372120566,-1.18E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.025306339,0.047341756,0.372959256,-1.18E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.031230395,0.053615106,0.373667752,-1.17E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.037145445,0.059879429,0.374248764,-1.17E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.043049784,0.066133017,0.374704746,-1.17E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.048941708,0.072374168,0.375037917,-1.16E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.05481952,0.078601182,0.375250297,-1.16E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.060681523,0.084812365,0.375343725,-1.15E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.066526028,0.091006025,0.375319879,-1.15E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.072351349,0.097180476,0.375180302,-1.14E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.078155806,0.103334039,0.37492641,-1.14E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.083937726,0.109465039,0.374559516,-1.13E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.089695441,0.115571809,0.374080838,-1.12E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.095427291,0.121652688,0.373491513,-1.12E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.101131622,0.127706023,0.372792609,-1.11E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.106806791,0.133730168,0.371985135,-1.10E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.112451161,0.139723487,0.371070048,-1.09E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.118063103,0.145684351,0.370048264,-1.08E-07,0.098265885,0.1117419,-0.311404631,-0.135879899,1
0.123640999,0.151611142,0.368920662,-1.08E-07,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.129183242,0.157502252,0.367688093,-1.07E-07,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.134688233,0.16335608,0.366351385,-1.06E-07,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.140154384,0.169171041,0.364911348,-1.05E-07,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.145580119,0.174945557,0.363368778,-1.04E-07,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.150963874,0.180678063,0.361724462,-1.03E-07,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.156304096,0.186367006,0.359979183,-1.02E-07,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.161599245,0.192010847,0.35813372,-1.01E-07,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.166847794,0.197608057,0.356188854,-9.94E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.17204823,0.203157123,0.354145368,-9.82E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.177199053,0.208656546,0.352004052,-9.70E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.182298778,0.214104838,0.349765704,-9.57E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.187345934,0.21950053,0.34743113,-9.45E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.192339066,0.224842165,0.34500115,-9.32E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.197276733,0.230128304,0.342476593,-9.18E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.202157513,0.235357522,0.339858306,-9.04E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.206979997,0.240528411,0.337147148,-8.90E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.211742795,0.245639581,0.334343996,-8.76E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.216444533,0.250689657,0.331449743,-8.62E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.221083856,0.255677283,0.3284653,-8.47E-08,0.233935966,0.309224217,-0.310069648,-0.076045146,1
0.225659426,0.260601122,0.325391595,-8.31E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.230169924,0.265459853,0.322229576,-8.16E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.234614048,0.270252176,0.31898021,-8.00E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.238990517,0.274976808,0.315644484,-7.84E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.243298069,0.279632488,0.312223403,-7.68E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.247535463,0.284217972,0.308717995,-7.51E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.251701475,0.288732038,0.305129305,-7.34E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.255794906,0.293173486,0.3014584,-7.17E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.259814573,0.297541133,0.297706369,-7.00E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.263759319,0.30183382,0.293874317,-6.82E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.267628005,0.306050411,0.289963374,-6.64E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.271419517,0.310189787,0.285974688,-6.46E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.27513276,0.314250857,0.281909427,-6.28E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.278766664,0.318232549,0.27776878,-6.09E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.282320181,0.322133814,0.273553956,-5.90E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.285792287,0.325953628,0.269266184,-5.71E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.289181979,0.329690988,0.264906712,-5.52E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.292488281,0.333344918,0.260476807,-5.32E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.29571024,0.336914463,0.255977757,-5.13E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.298846925,0.340398694,0.251410866,-4.93E-08,0.279692711,0.228869842,-0.274276366,-0.015762645,1
0.301897433,0.343796706,0.246777461,-4.73E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.304860884,0.347107619,0.242078882,-4.52E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.307736424,0.350330578,0.237316491,-4.32E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.310523222,0.353464754,0.232491667,-4.11E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.313220476,0.356509342,0.227605805,-3.90E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.315827408,0.359463565,0.222660319,-3.69E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.318343266,0.36232667,0.217656638,-3.48E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.320767324,0.365097931,0.212596207,-3.26E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.323098883,0.36777665,0.20748049,-3.05E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.325337272,0.370362153,0.202310963,-2.83E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.327481845,0.372853794,0.19708912,-2.61E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.329531982,0.375250956,0.191816468,-2.39E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.331487094,0.377553046,0.186494529,-2.17E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.333346616,0.3797595,0.181124838,-1.95E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.335110012,0.381869782,0.175708946,-1.72E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.336776773,0.383883382,0.170248415,-1.50E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.338346419,0.38579982,0.16474482,-1.27E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.339818498,0.387618643,0.159199749,-1.04E-08,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.341192584,0.389339426,0.153614802,-8.13E-09,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.342468282,0.390961772,0.147991589,-5.83E-09,0.263232483,0.159661391,-0.204904551,0.041409108,1
0.343645223,0.392485314,0.142331731,-3.52E-09,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.344723069,0.39390971,0.136636862,-1.21E-09,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.345701508,0.395234651,0.130908623,1.12E-09,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.346580259,0.396459854,0.125148666,3.45E-09,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.347359067,0.397585065,0.119358651,5.79E-09,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.348037709,0.398610059,0.113540249,8.13E-09,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.348615988,0.39953464,0.107695136,1.05E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.349093738,0.400358641,0.101824999,1.28E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.349470821,0.401081923,0.095931528,1.52E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.349747128,0.401704379,0.090016423,1.76E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.34992258,0.402225927,0.08408139,1.99E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.349997127,0.402646517,0.078128139,2.23E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.349970745,0.402966126,0.072158387,2.47E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.349843444,0.403184763,0.066173853,2.70E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.34961526,0.403302464,0.060176264,2.94E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.349286259,0.403319293,0.054167348,3.18E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.348856535,0.403235346,0.048148838,3.42E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.348326212,0.403050747,0.042122467,3.65E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.347695444,0.402765646,0.036089973,3.89E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.346964412,0.402380227,0.030053095,4.13E-08,0.202779717,0.280511926,-0.107501765,0.092164792,1
0.346133328,0.4018947,0.024013573,4.37E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.34520243,0.401309304,0.017973148,4.60E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.344171987,0.400624307,0.01193356,4.84E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.343042297,0.399840005,0.005896551,5.07E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.341813685,0.398956725,-0.00013614,5.31E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.340486505,0.397974821,-0.006162774,5.54E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.33906114,0.396894674,-0.012181613,5.78E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.337538002,0.395716695,-0.018190923,6.01E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.335917528,0.394441323,-0.024188973,6.24E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.334200188,0.393069026,-0.030174032,6.48E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.332386475,0.391600297,-0.036144378,6.71E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.330476913,0.390035661,-0.042098287,6.94E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.328472053,0.388375666,-0.048034046,7.17E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.326372473,0.386620891,-0.053949942,7.39E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.324178777,0.384771941,-0.059844272,7.62E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.321891599,0.382829448,-0.065715336,7.85E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.319511599,0.380794071,-0.071561442,8.07E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.317039462,0.378666497,-0.077380905,8.30E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.314475902,0.376447437,-0.083172049,8.52E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.311821657,0.374137631,-0.088933204,8.74E-08,0.113395762,0.193158339,0.008864809,0.1336308,1
0.309077493,0.371737844,-0.09466271,8.96E-08,0.009366269,0.049512437,0.132934239,0.16358011,1
0.306244202,0.369248867,-0.100358915,9.18E-08,0.009366269,0.049512437,0.132934239,0.16358011,1
0.3033226,0.366671516,-0.106020179,9.39E-08,0.009366269,0.049512437,0.132934239,0.16358011,1
0.300313531,0.364006634,-0.11164487,9.61E-08,0.009366269,0.049512437,0.132934239,0.16358011,1
0.29721786,0.361255087,-0.117231366,9.82E-08,0.009366269,0.049512437,0.132934239,0.16358011,1
0.294036483,0.358417769,-0.122778058,1.00E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.290770315,0.355495597,-0.128283348,1.02E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.287420298,0.352489511,-0.133745649,1.05E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.283987399,0.349400478,-0.139163387,1.07E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.280472608,0.346229487,-0.144535,1.09E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.276876938,0.342977551,-0.149858941,1.11E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.273201426,0.339645707,-0.155133676,1.13E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.269447131,0.336235015,-0.160357684,1.15E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.265615137,0.332746556,-0.165529461,1.17E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.261706549,0.329181436,-0.170647516,1.19E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.257722493,0.325540781,-0.175710374,1.21E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.253664119,0.321825739,-0.180716577,1.22E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.249532597,0.318037481,-0.185664681,1.24E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.245329117,0.314177198,-0.190553262,1.26E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.241054893,0.310246101,-0.195380911,1.28E-07,0.009366269,0.049512437,0.132934239,0.16358011,1
0.236711157,0.306245423,-0.200146236,1.30E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.232299162,0.302176416,-0.204847865,1.32E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.227820179,0.298040352,-0.209484443,1.33E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.2232755,0.293838521,-0.214054634,1.35E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.218666436,0.289572235,-0.218557121,1.37E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.213994316,0.285242822,-0.222990608,1.39E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.209260488,0.280851629,-0.227353817,1.40E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.204466315,0.276400021,-0.23164549,1.42E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.199613182,0.27188938,-0.235864392,1.43E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.194702486,0.267321104,-0.240009308,1.45E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.189735645,0.26269661,-0.244079042,1.47E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.184714091,0.25801733,-0.248072424,1.48E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.179639271,0.253284711,-0.251988301,1.50E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.174512649,0.248500217,-0.255825548,1.51E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.169335704,0.243665325,-0.259583057,1.53E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.164109928,0.238781528,-0.263259747,1.54E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.158836828,0.233850333,-0.266854559,1.55E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.153517925,0.228873259,-0.270366457,1.57E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.148154753,0.22385184,-0.273794431,1.58E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.142748858,0.218787623,-0.277137492,1.59E-07,-0.095390048,-0.10626339,0.252686395,0.18063553,1
0.137301798,0.213682166,-0.280394678,1.61E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.131815146,0.20853704,-0.283565051,1.62E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.126290482,0.203353825,-0.286647698,1.63E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.120729401,0.198134116,-0.289641732,1.64E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.115133505,0.192879515,-0.292546289,1.65E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.109504408,0.187591635,-0.295360535,1.67E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.103843735,0.1822721,-0.298083659,1.68E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.098153116,0.176922542,-0.300714876,1.69E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.092434193,0.1715446,-0.30325343,1.70E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.086688615,0.166139925,-0.305698589,1.71E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.080918039,0.160710172,-0.308049651,1.72E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.075124129,0.155257005,-0.310305937,1.73E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.069308555,0.149782095,-0.3124668,1.74E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.063472996,0.144287118,-0.314531617,1.74E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.057619133,0.138773757,-0.316499793,1.75E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.051748654,0.133243699,-0.318370764,1.76E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.045863253,0.127698637,-0.320143991,1.77E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.039964627,0.122140268,-0.321818963,1.78E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.034054476,0.116570293,-0.323395199,1.78E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.028134505,0.110990414,-0.324872246,1.79E-07,-0.187892377,-0.179856247,0.356788113,0.184425665,1
0.022206421,0.10540234,-0.32624968,1.80E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
0.016271933,0.099807779,-0.327527104,1.80E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
0.010332753,0.094208442,-0.328704152,1.81E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
0.004390593,0.088606041,-0.329780486,1.81E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
-0.001552833,0.083002291,-0.330755796,1.82E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
-0.007495811,0.077398903,-0.331629803,1.82E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
-0.013436627,0.071797592,-0.332402256,1.83E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
-0.019373569,0.066200071,-0.333072934,1.83E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
-0.025304924,0.06060805,-0.333641645,1.83E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
-0.031228982,0.055023241,-0.334108227,1.84E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
-0.037144034,0.049447351,-0.334472545,1.84E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
-0.043048376,0.043882086,-0.334734497,1.84E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
-0.048940304,0.038329147,-0.334894009,1.85E-07,-0.257071031,-0.243277588,0.435923347,0.175664626,1
