id	document	label
65	HMI Cluster 개발 	0
66	LDWS, LKAS HMI Cluster 구현 사양 설정	0
67	HMI Cluster 구성요소 설계 및 S/W 개발	0
68	HMI Cluster 제품 시스템 검증	0
69	LKAS 신뢰성 확보방안 마련	0
70	LKAS 적용 대상 차량 확대 방안 마련	0
71	LKAS 상용화 전략 방안 도출	0
72	LKAS 상용화 	0
73	LKAS 관련 실차 성능 평가방안 검토 	0
74	실차 성능 평가	0
75	대상차량 LKAS 적용 및 단품 기능시험	0
76	수평전개 적용차량 적용성 검토 (중형 및 대형 트럭)	0
77	웜-샤프트 Ass’y (감속기, 샤프트, 하우징) 상세설계 및 금형 개발	0
78	LKAS 관련 기관별 개발 사양 접수 및 대상차량 개조범위 검토	0
79	LKAS 적용 대상차량(전기버스) 개조 	0
80	전기버스용 최적화 볼-너트 기어박스 사양 검토 및 시작품 설계 	2
81	볼-너트기어박스 설계 사양 검토 항목	2
82	전기버스용 컨셉 디자인 설계	2
83	중대형 상용차 LKAS용 TAS 사양 선정 및 기본 설계	1
84	중대형 상용차 LKAS 용 TAS 전기적 사양 선정	1
85	입력 사양(동작전압, 소비전류 등) 선정	1
86	출력 사양(출력형태, 출력채널, Resolution, Accuracy, Linearity 등) 선정	1
87	Wide Angle (Multi Turn) 사양 선정 Torque Angle (비틀림 Angle) 사양 선정	1
88	컨셉설계, 신호처리 개발 알고리즘 설계 PCB/Coil 설계 Coil 해석을 통한 원리 검증	1
89	중대형 상용차 LKAS용 TAS 컨셉 개발	1
90	LKAS 선행 연구 분석 및 영상센서부, 제어부 설계 	3
91	단일카메라 기반 차선 검출 연구 분석	3
92	차선유지 관련 연구 분석 	3
93	전체 시스템 구성을 위한 S/W 모듈 기능 정의 및 설계	3
94	차선검출 및 유지를 위한 S/W 모듈 설계	3
95	차선검출과 차선유지의 제어를 위한 S/W 모듈 기능 정의 및 설계	3
96	LKAS S/W 예상 모듈 구성도	3
97	영상센서부 설계 	3
98	자동차 환경의 신뢰성에 부합하는 카메라 모듈 시제품 개발	3
99	Full HD 기반 모듈 설계	3
100	영상 인식 성능 향상을 위한 HDR 기능 추가	3
101	실시간성 보장되는 성능의 제어부 설계 및 개발보드 제작	3
102	중대형 상용차 조향 시스템용 구동모터 및 인버터 개발	6
103	고성능 저소음 구동모터 개발	6
104	구동모터 전자계 설계	6
105	정밀 손실계산을 통한 고효율 자기회로 설계	6
106	코깅 및 토크 리플 최소화를 위한 회전자 설계	6
107	슬롯 점적율과 전류 밀도를 고려한 고정자 설계 	6
108	중량 절감을 위한 고강성, 경량화 기구 구조 설계	6
109	온도 특성이 고려된 2차원 영구자석 감자(Demagnetizing) 해석	6
110	실험계획법(DOE: Design of Experiment)을 이용한 최적 설계 수행	6
111	목표함수와 제약조건을 동시에 만족하는 최적화 형상 치수 결정목표함수와 제약조건을 동시에 만족하는 최적화 형상 치수 결정	6
112	주위환경조건 및 열등가회로 모델 선정ㅍ	6
113	열등가회로 해석 수행 및 결과 분석을 통한 최적형상 도출	6
114	방열특성을 고려한 최적 구조설계	6
115	Anti-chiping을 고려한 회전자 설계	6
116	모터 기구부 제작도면 및 부품소재 개발  	6
117	평가용 인버터 개발 	6
118	인버터 사양 설계	6
119	아트웍 및 부품실장	6
120	케이스 및 하네스 제작	6
121	구동모터 및 인버터 평가기반 구축 및 특성/성능 평가	6
122	운전영역 검증 시험(Torque, speed, current, voltage)	6
123	정격부하 효율 시험	6
124	온도 포화 시험	6
125	EILS (ECU In The Loop Simulator) 기반 환경 구축	9
126	LKAS 시스템 EILS (ECU-in-the-loop simulation) 평가를 위한 H/W 구축	9
127	Control Rack 구성	9
128	Real time interface module 선정 및 구성	9
129	ECU input/output signal generator 구성	9
130	단선 /단락 시험 수행을 위한 Break Out Box 구성 	9
131	LKAS 시스템 EILS(ECU-in-the-loop simulation) 평가를 위한 S/W 구축	9
132	Real Time computer module 구성	9
133	HILS 기반 환경 구축	9
134	Test Bench Concept 설계 및 고정 지그 제작 	9
135	실차에서 평가하기 힘든 다양한 주행환경에서 개발제품을 평가하기 위한 Test	9
136	Bench Concept 설계 및 Test Bench지그 제작	9
137	중대형 상용차 차선 이탈 방지 로직 개발	4
138	운전자 의도 판단 로직 개발	4
139	차량 센서 측정값(조향각, 종방향 속도 등)을 통한 차량의 상태 변수(요각, 횡방향 속도, 종방향 속도 등) 추정기 설계	4
140	카메라 센서 측정 값(Lane Offset, Heading Angle, Curvature 등)을 통한 도로 정 보 추정기 설계	4
141	차선 변경 의도 지수(Steering Behavior Index) 개발 및 최적화	4
142	차량의 상태 변수와 도로 정보를 이용해 운전자 의도를 판단 할 수 있는 차선변경 의도 지수 개발	4
143	시뮬레이션을 이용한 차선 변경 의도 지수 검증 및 최적화	4
144	Lane Keeping Assist  로직 개발	4
145	차선 이탈 여부 판단 로직 개발	4
146	DLC(Distance to Lane Crossing) 및 TLC(Time to Lane Crossing) 계산 로직 개발	4
147	DLC 및 TLC를 이용한 차선 이탈 여부 판단	4
148	차선 이탈 방지를 위한 Yaw Rate 도출 로직 개발	4
149	Fail-Safe 기반 고장허용 제어 로직 구성도 설계	7
150	전동식 조향 시스템 TAS 센서의 고장모드 분석	7
151	TAS 센서의 일시적인 고장 검출 및 복구 로직 설계	7
152	TAS 센서의 영구적인 고장 검출 및 복구 로직 설계	7
153	TAS 센서 고장 경고 로직 설계	7
154	Fail-safe 기반의 모터 고장허용 제어 로직 구성도 설계	7
155	Fail-safe 기반의 TAS 센서 고장허용 제어 로직 구성도 설계	7
156	전동식 조향 시스템 모터의 고장모드 분석	7
157	모터의 일시적인 고장 검출 및 복구 로직 설계	7
158	모터의 영구적인 고장 검출 및 복구 로직 설계	7
159	모터 고장 경고 로직 설계	7
160	중대형 상용차 LKAS 로직 개발 환경 구축 및 조향 보조력 제어 로직 개발	5
161	중대형 상용차용 LKAS 제어 로직 개발 및 실차 평가 환경 구축	5
162	LKAS 제어로직 개발용 타이어-차선 간격 정밀 측정 장비 구축	5
163	NHTSA 등 해외 연구/인증/개발기관 측정 장비 벤치마킹	5
164	카메라 기반 또는 카메라+GPS 기반 장비 개발 컨셉 수립 및 구축 	5
165	중대형 상용차용 LKAS 제어 로직 개발용 실차 개발 환경 구축	5
166	LKAS 제어 로직 개발을 위한 가상 ECU(RCP) 장비 Upgrade	5
167	중대형 상용차용 LKAS 제어로직 개발 위한 벤치마킹 시험	5
168	LKAS 제어 작동/미작동/오작동 상황 확인 및 개발 제어전략 수립 	5
169	중대형 상용차 전동식 조향 시스템용 조향 보조력 제어 로직 개발	5
170	기존 유압 조향 시스템에 대한 동역학 해석 모델 개발 	5
171	해석 모델 정확도 검증을 위한 조향 모듈의 실차 시험 데이터 계측 	5
172	과제 개발 전동식 조향 시스템 모듈 동역학 해석 모델 개발	5
173	동역학 차량 모델(Trucksim) 기반 조향 보조력 제어 로직 개발	5
174	모터 제어를 위한 로직의 출력 신호와 모터의 입력 신호 Matching 	5
175	개발 단품 내환경 평가, 조향 모듈 평가법 개발 및 구조 검토용 시작품 제작  	8
176	3D 프린터를 통한 구조 검토용 시작품 제작	8
177	구조 검토용 시작품 제작 및 조립성 등 차량 패키지 레이아웃 검증 지원	8
178	카메라 모듈 1차 시제품 환경시험 (저온/고온 작동시험)	8
179	카메라 모듈이 정상적으로 작동하는 온도 범위 확인	8
180	1차년도 정량적 작동온도 ( -30~75℃) 목표 달성여부 확인 	8
181	조향 Powerpack Max. Torque 평가 방안 수립 	8
182	전동 조향시스템의 조향축 회전 토크 평가 방안 수립	8
183	상용차용 전동식 조향시스템 및 HMI Cluster 개발	0
184	전동식 조향시스템의 웜-샤프트 Ass’y 개발	0
185	웜-샤프트 Ass’y (감속기, 샤프트, 하우징) 금형 개발	0
186	웜-샤프트 Ass’y 시제품 제작 및 시험	0
187	전동식 조향시스템의 Ass’y 개발	0
188	조향시스템 Ass’y 단품 시험 및 설계 보완	0
189	조향시스템 Ass’y (모터, 하우징, 감속기, 볼-너트 기어박스) 조립	0
190	HMI Cluster 개발 	0
191	HMI Cluster 시작품 제작 및 단품 시험	0
192	구성장치(카메라 모듈, LKAS ECU)관련 로직 개발	0
193	차량 개조관련 설계 변경 및 개조	0
194	LKAS 적용 대상차량 개조 	0
195	LKAS 관련 실차 성능 평가방안 마련	0
196	최적화 구조 하우징 개발 및 평가	2
197	차량 LAY-OUT 분석	2
198	MDPS와 볼-너트 기어박스 결합 최적화 설계 및 개발	2
199	최적화 구조 볼-너트 기어박스 시제품 신뢰성 평가	2
200	정전 내구시험, 역전 내구시험 	2
201	LKAS 용 TAS 기구/구조 설계 및 TAS 제품 제작	1
202	LKAS 용 TAS 기구/구조 설계	1
203	Multi Turn 구조 설계, Torque 검출 가능한 구조 설계 	1
204	PCB / Coil / 기구부 설계	1
205	회로 설계 / Algorithm 검증	1
206	LKAS 용 TAS 제품 제작	1
207	Multi Turn, Torque 측정 장비 제작	1
208	LKAS 알고리즘 구현 및 제어부 시제품 개발 	3
209	차선 검출 알고리즘 상용화 수준의 구현	3
210	차선검출 알고리즘 개선	3
211	도로 환경 변화에 강인한 차선검출 알고리즘 개발	3
212	알고리즘 포팅 및 최적화	3
213	제어부(ECU) 보드에 알고리즘 포팅	3
214	LKAS 제어로직 포팅	3
215	차선인식, 차선예측, 조향장치 제어 알고리즘 통합	3
216	제어부 시제품 개발	3
217	영상센서부 포함하는 제어부 기구설계 및 목업 제작	3
218	상용차(버스 포함)에 특화한 디자인 구성 및 기구 설계	3
219	제어부 임베디드시스템 개발	3
220	설계된 기구에 맞게 임베디드시스템 개발	3
221	임베디드 어플리케이션 개발	3
222	LKAS 단품 성능 평가	3
223	완성된 제어부를 활용 LKAS 단품 실차테스트 진행	3
224	LKAS 조향 제어로직 실시간성 검증	3
225	중대형 상용차 조향 시스템용 구동모터 및 인버터 개발	6
226	통합모듈 평가용 구동모터 개발	6
227	구동모터 개선 설계	6
228	1차 시제 개선사항(출력밀도 향상, Layout, 저소음 등)을 고려한 최적 설계	6
229	경량화 구조 설계 및 소재 개발	6
230	개선 모델에 따른 지그/치구류 개선 개발	6
231	개선 사항을 고려한 H/W & S/W 개선 설계	6
232	통합모듈 평가용 인버터 개발 	6
233	개선 인버터 아트웍 및 부품실장	6
234	개선 인버터 케이스 및 하네스 제작	6
235	통합모듈 평가용 구동모터 및 인버터 특성/성능 평가	6
236	운전영역 검증 시험(Torque, speed, current, voltage)	6
237	정격부하 효율 시험	6
238	온도 포화 시험	6
239	중대형 상용차 LKAS와 조향 보조력 제어 로직 통합 및 상용차 LKAS Driving DB 구축	5
240	중대형 상용차용 전동식 조향 모듈 조향 보조력 제어 로직 보완 개발 및 MDPS ECU 1차 시제품 개발 	5
241	1차년도 개발한 상용차용 조향 보조력 제어 로직 수정/보완	5
242	상용차용 MDPS ECU 탑재 적합한 제어 로직 Format으로 개발	5
243	조향 성능 향상을 위한 제어 로직 Tuning 인자 설정 및 검증 	5
244	상용차용 MDPS ECU 1차 시제품 설계 및 제작 (용역)	5
245	모터-인버터 및 TAS와의 연결을 위한 설계 사양 검토 및 선정	5
246	상용차용 MDPS ECU 1차 시제품 제작 및 실차 장착성 검토 	5
247	상용차용 MDPS 조향 보조력 제어 로직과 LKAS 제어 로직 통합 개발	5
248	통합 제어 로직의 실시간성 검증	5
249	LKAS 제어 로직과 조향 보조력 제어 로직 통합	5
250	통합 제어 로직 RCP 장비에 탑재하여 로직 정상 작동성 평가	5
251	다양한 해석 시나리오에서의 통합 제어 로직 검증 및 성능 예측	5
252	조향 보조력 제어로직 해석 검증 	5
253	실차 환경에서의 통합 제어로직 작동성 검증 시험 	5
254	기존 유압 조향 시스템의 특성을 고려한 MDPS 제어 로직 Tuning	5
255	모본 제작한 카메라 센서와 통합 제어로직 실차(유사 차량) 장착	5
256	LKAS 제어 로직 정상 작동성 및 MDPS ECU로의 출력정보 확인	5
257	중대형 상용차용 전동식 조향 (MDPS) 시스템에 대한 고장 모드 분석	5
258	유압조향 시스템 포함 MDPS 시스템에 대한 FMEA/FTA 수행 	5
259	예상되는 고장 모드 분석 및 그에 따른 고장 안전 대책 수립	5
260	LKAS Driving DB 구축 및 데이터 분석을 통한 LKAS 작동 로직 Spec. 개발	5
261	차선 유지 주행 상황에 대한 상용차 Naturalistic Driving DB 구축	5
262	직진로, 선회로, 다양한 차선 폭의 지방도, 국도, 고속도로 등 주행	5
263	도로 곡률, 타이어-차선 간격, 차속, 횡속/가속도, 조향각/토크 계측	5
264	1차년도 개발한 차량 타이어-차선 간격 정밀 측정 장비 보완 및 성능 검증	5
265	다수 운전자의 장거리 주행 Naturalistic Driving DB 구축	5
266	통계 분석을 통한 차선 유지 주행 시 상용차의 일반적인 주행 범위 파악	5
267	계측 데이터의 통계 분석을 통해 일반적인 주행 범위(간격) 등 파악	5
268	주행 환경 및 조건(도록 곡률, 차속, 차선폭)에 따른 일반적인 주행 범위의 변화 및 경향 파악	5
269	LKAS 로직의 작동/미작동 범위의 정량적 Spec. 개발	5
270	일반적인 주행 범위에서는 작동을 최소화하여 제어 시스템의 지나친 개입 방지 	5
271	상용차 LKAS 제어 로직의 운전자 수용성 증대를 위한 정량적 제어 Spec. 검토	5
272	개발 단품 내환경 평가, 조향 모듈 성능 평가 환경 및 방안 수립	8
273	카메라 모듈 2차 시제품 환경시험(저온/고온 작동시험)	8
274	저온(-30℃)/고온(75℃) 환경챔버 시제품 방치 후 작동시험	8
275	조향 Powerpack Max. Torque 측정 장치 구성 및 1차 시제품 평가 진행	8
276	전동 파워스티어링 조향축 최대 토크 평가 시스템 구축	8
277	조향각, 조향각속도, 조향토크 등 조향 Powerpack 성능 분석 	8
278	조향력, 응답성 등 조향성능평가 시험장비 구축을 위한 평가시스템 설계	8
279	전동식 조향시스템 Max. 전륜조향 추력 평가 방안 수립	8
280	HILS(Hardware In The Loop Simulator) 기반 환경 구축	9
281	EILS 구동 제어로직 개발 	9
282	차량동역학 해석 프로그램에서의 필요 In-out put Data 연동	9
283	실시간 시뮬레이션 수행을 위한 구동제어 로직 구성 	9
284	차량의 정보 In-out put signal 송․수신을 위한 SM_master 블록 개발 	9
285	모니터 및 제어를 위한 SC_console 블록 개발	9
286	HILS 기반 환경 구축 개선	9
287	Test Bench 보안	9
288	Test Bench 반력부 설계 및 제작 	9
289	도로 주행시 발생 된 조향 반력을 모사하기 위한 Test Bench 반력부 구성	9
290	Test Bench 개선 전 좌⋅우 조향 회전 범위 확인 	9
291	Test Bench 타이어 반력 생성을 위한 모터구동 제어방식 구성	9
292	Test Bench 서보모터 제어 방식 선정 및 특성 확인 	9
293	토크 전압(V)에 의한 모터 구동 방향성 확인	9
294	중대형 상용차 차선 복귀 로직 개발	4
295	Lane Centering Assist 로직 개발	4
296	차선 복귀를 위한 경로 생성 로직 개발	4
297	횡가속도 제한/ 곡률 변화량 제한을 만족하는 경로 생성	4
298	중대형 상용차의 차량동역학적 추종 가능한 경로 생성	4
299	목표 경로 추종을 위한 Yaw Rate 도출 로직 개발	4
300	중대형 상용차량의 조향 토크 제어기 개발	4
301	중대형 상용차 모델 개발	4
302	중대형 상용차의 횡방향 거동을 묘사 할 수 있는 선형 동적 모델 개발	4
303	중대형 상용차의 조향계를 묘사 할 수 있는 동적 모델 개발	4
304	중대형 상용차 모델을 이용한 조향 토크 제어기 개발	4
305	Fail-Safe 기반 고장허용 제어로직 개발	7
306	Fail-safe기반 TAS센서 고장허용 제어 로직 개발	7
307	TAS 센서의 일시적 고장 검출 및 복구 로직 개발	7
308	TAS 센서의 영구적 고장 검출 및 복구 로직 개발	7
309	TAS 센서 고장 경고 로직 개발	7
310	Fail-safe 기반의 TAS센서 고장허용 제어 로직 시뮬레이션	7
311	Fail-safe기반 모터 고장허용 제어 로직 개발	7
312	모터의 일시적 고장 검출 및 복구 로직 개발	7
313	모터의 영구적 고장 검출 및 복구 로직 개발	7
314	모터 고장 경고 로직 개발	7
315	Fail-safe 기반의 모터 고장허용 제어 로직 시뮬레이션  	7
316	상용차용 LKAS 실차 구현 및 성능 평가	0
317	전동식 조향시스템의 Ass’y 개발	0
318	조향시스템 Ass’y 실차(전기버스) 적용 시험 및 설계 보완	0
319	HMI Cluster 개발 	0
320	HMI Cluster 실차(전기버스) 적용 시험 및 설계 보완	0
321	MDPS ECU 최종품 실차 성능 평가 및 신뢰성 확보	0
322	MDPS 장치 진동내구 성능 평가	0
323	LKAS 관련 실차(전기버스) 적용 성능 평가	0
324	최적화 볼-너트 기어 박스 성능 설계	2
325	실차(전기버스) 장착 기본 성능 계측 및 분석	2
326	주행 조건별 조향 Effort, 복원력, On Center feel, Response, 조타 바쁘기	2
327	전기버스용 볼-너트 기어 박스 성능 튜닝 및 최적화	2
328	스티어링 휠을 조향하는 힘과 이에 상응해서 변하는 압력 선도 튜닝	2
329	좌/우회전 시 Torque, Hysterisis 특성 최적화	2
330	전기버스용 볼-너트 기어박스 상단 어댑터(MDPS 연결부) 설계 및 시제품 개발	2
331	볼-너트 기어박스 일체형 전동식 조향시스템 내구 신뢰성 평가	2
332	TAS DV 검증 및 시험 차량 장착 성능 1차 평가	1
333	TAS 제품 검증	1
334	LKAS 연동 검증	1
335	LKAS 로직, HILS, Fail Safe등 System 연동 검증	1
336	TAS 성능 검토, 신뢰성 향상 필요 항목 검토	1
337	전방 충돌경보 알고리즘 개발 및 LKAS 실차 성능 평가 	3
338	전방 충돌경보를 위한 물체, 차량, 보행자 인지 성능 개발 및 실차 성능 평가 	3
339	전방 물체, 차량, 보행자 인지 알고리즘 개발 	3
340	전방 물체, 차량, 보행자 인지 알고리즘 개발 및 실차 성능 평가 	3
341	중대형 상용차 조향 시스템용 구동모터 및 인버터 개발	6
342	실차 적용품 구동모터 개발	6
343	실차 적용을 고려한 모터 설계 	6
344	일체형 ECU 고려 하우징 구조 확정 및 강건 설계	6
345	모터 출력/효율 확보를 위한 최적 설계	6
346	실차 적용 변경 모델을 고려한 지그/치구류 개선	6
347	실차 적용품 평가용 인버터 개선 	6
348	통합모듈 평가 결과 보완사항에 대한 H/W & S/W 개선	6
349	개선 인버터 아트웍 및 부품실장	6
350	개선 인버터 케이스 및 하네스 제작	6
351	실차 적용품 구동모터 특성/성능 평가	6
352	ECU 일체형 모터 특성/성능 평가 방안 수립	6
353	운전영역 검증 시험(Torque, speed, current, voltage)	6
354	정격부하 효율 시험	6
355	단품기본검사	6
356	실차 내구 및 내환경 평가방안 검토	6
357	온도 포화 시험	6
358	중대형 상용차 LKAS와 조향 보조력 통합 제어 로직 실차 구현 및 실차 성능 평가	5
359	중대형 상용차용 MDPS 조향 보조력 제어 로직 및 LKAS 로직 실차 탑재 	5
360	MDPS 조향 보조력 로직 실차 튜닝 환경 구축 및 제어로직 Architecture 개발 	5
361	MDPS ECU 상에서 조향 보조력 제어 로직 튜닝용 프로그램 개발 	5
362	MDPS ECU 탑재 조향 보조력 제어 로직 Architecture 개발 	5
363	(주 제어 로직 및 보조 제어 로직 확정) 및 설계	5
364	LKAS 및 MDPS 조향 보조력 제어 로직 ECU 제작 및 실차(전기버스) 탑재  	5
365	1차 개발품 장착 시작 차량(전기버스)에 통합 제어 로직 및 개발 ECU 탑재	5
366	차량 CAN 통신, 센서 신호 정보 등 통신 신뢰성 검증	5
367	중대형 상용차용 MDPS 조향 보조력 제어 및 LKAS 제어 로직 실차 성능 평가	5
368	LKAS 및 조향 보조력 제어 로직 평가 시나리오 개발	5
369	LKAS 시험을 위한 ISO, NHTSA, 유럽, 국토부 평가법 기준 참고	5
370	기본 조향 성능 평가를 위한 해외/국내 OEM사의 평가법 참고	5
371	기본 주행 상황에서의 실차 성능 시험 (직진, 선회, 주차 등)	5
372	MDPS 조향 보조력 제어 로직 개발 및 튜닝용 실차 시험	5
373	속도별(저속/중속/고속) 조향 보조력 제어 로직 실차 튜닝	5
374	주관평가 및 계측 평가를 통한 조향 보조력 제어 로직 Tuning	5
375	LKAS 제어 로직 개발 및 튜닝용 실차 시험	5
376	1차 개발품 장착 시작 차량(전기버스)에 대한 실차 계측 평가	5
377	도로 및 환경 조건별 LKAS, Lane Centering 로직 실차 튜닝	5
378	LKAS 제어 로직 관련 정량적 목표 항목 평가(횡방향 이탈거리 및 횡가속도)	5
379	Static Effort/Dynamic Effort/복원성 등 조향 성능 평가	5
380	1차 개발품 장착 시작 차량(전기버스)에 대한 조향 성능 실차 계측 평가	5
381	조향 성능 관련 정량적 목표 항목 평가	5
382	중대형 상용차용 MDPS용 Fail-Safe 제어 로직 검증 및 신뢰성 평가	5
383	Fail-Safe 로직과의 연계성 검토 및 입/출력 신호 관계 검토 	5
384	MDPS Fail-Safe 로직 ECU 탑재를 위한 검증	5
385	조향 모듈 및 단품 내환경 및 실차 조향 성능 평가	8
386	MDPS ECU 정상작동 온도범위 확인	8
387	저온(-40℃)/고온(105℃) 환경챔버 시제품 방치 후 작동시험	8
388	카메라 모듈 3차 시제품 환경시험	8
389	저온(-40℃)/고온(85℃) 환경챔버 시제품 방치 후 작동시험	8
390	케메라 모듈 3차 시제품 전자파 방출/내성 평가 및 디버깅 지원	8
391	개발부품 전자파 측정 및 전원노이즈 등 특성분석	8
392	인증시험 규격 만족여부(CISPR 25 등) 검토 및 디버깅 지원 	8
393	조향 Powerpack 2차 시제품 Max. Torque 평가 진행	8
394	조향각, 조향각속도, 조향토크 등 조향 Powerpack 성능 분석 	8
395	조향휠 고정 상태에서 전동모터 최대 토크발생시 조향토크 측정	8
396	전동식 조향시스템 Max. 전륜조향 추력 평가	8
397	조향력, 응답성 등 조향성능평가	8
398	EILS을 이용한 MDPS ECU 성능 평가 및 HILS 시스템 개선	9
399	MDPS 시스템 평가를 위한 EILS 연동로직 개발	9
400	MDPS 시스템 평가 환경 구축	9
401	EILS 통신로직 개선	9
402	MDPS 및 차량 동역학 해석 프로그램의 연동을 위한 In-out put Signal 검토	9
403	CAN , Digital , Analog 신호 검토 및 통신로직 구성	9
404	MDPS 시스템 구동성 확인	9
405	신호 분석기를 통한 송․수신 통신 검증	9
406	차선 이탈 입력 조건 시 MDPS 작동성 확인	9
407	HILS 기반 환경 및 구동로직 개선	9
408	Test Bench HPU 시스템 구축	9
409	Test Bench HPU 시스템 구동로직 개선 	9
410	서보모터 입력전압에 따른 타이어반력 측정 및 Conversion 로직 구성	9
411	입력 전압 대비 타이어반력 Conversion 로직 구성	9
412	HILS 구동 시 조향휠 원점 보정 로직 구성	9
413	LKAS 로직 고도화 및 횡풍, 경사 도로 대상 로직 개발	4
414	운전자 의도 판단 및 Lane Centering Assist 로직 고도화	4
415	차선 변경 의도 지수 고도화	4
416	60,70,80[kph]에서 각각 직선 도로와 곡률이 있는 도로에서의 차선 유지 상황과	4
417	차선 변경상황의 차량 데이터를 측정	4
418	실제 차량 데이터 분석을 통한 운전자 차선 변경 의도 지수 고도화	4
419	Lane Centering Assist 로직 고도화	4
420	Lane keeping 및 lane centering assist 로직 통합	4
421	횡풍 및 경사 도로 대상 조향 토크 제어기 개발	4
422	실차 실험을 통한 로직 고도화	4
423	외란 추정기 개발	4
424	횡풍 및 경사 도로로 인한 외란 추정기 개발	4
425	외란 포함 조향 모델 개발	4
426	외란이 포함된 조향계의 state dynamics 유도	4
427	외란 포함 조향 모델을 이용한 조향 토크 제어기 개발	4
428	외란이 포함된 state dynamics를 통한 토크 제어기 개발	4
429	상용차용 전동식 조향 시스템 Fail-safe 제어 로직 시험차량 적용	7
430	Fail-safe기반 TAS센서 고장허용 제어 로직 시험차량 적용 	7
431	TAS 센서의 일시적인 고장 검출 및 복구 로직 시험차량 적용	7
432	TAS 센서의 영구적인 고장 검출 및 복구 로직 시험차량 적용	7
433	TAS 센서 고장의 경고 로직 시험차량 적용	7
434	Fail-safe기반 모터 고장허용 제어 로직의 시험차량 적용	7
435	모터의 일시적인 고장 검출 및 복구 로직 시험차량 적용	7
436	모터의 영구적인 고장 검출 및 복구 로직 시험차량 적용	7
437	모터 고장의 경고 로직 시험차량 적용	7
438	상용차용 LKAS 관련 시험차량 장착성능 평가 및 신뢰성 확보	0
439	전동식 조향시스템의 Ass’y 개발	0
440	시험 차량(전기버스) 장착 성능 평가 및 신뢰성 확보	0
441	HMI Cluster 개발 	0
442	시험 차량(전기버스) 장착 성능 평가 및 신뢰성 확보	0
443	MDPS ECU 최종품 실차 성능 평가 및 신뢰성 확보 	0
444	실차 장착 상태의 MDPS 조향 로직 및 제어 성능 평가.	0
445	실차 상태에서의 통합 제어 로직 작동성 시험 및 검증 확인.	0
