Input,Case3_HNoise,Case3_HPF(1),Case3_LPF(2),Case3_Kal(3),Case3_HPF_Kal(13),Case3_LPF_Kal(23),Case3_EKF(4),Case3_Label
-0.194701307,-0.285259144,-0.452769691,-0.290280431,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.189734453,-0.202969628,0.102128268,-0.294486092,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.184712886,-0.108457041,0.670740928,-0.297067272,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.179638054,-0.084000461,0.747737792,-0.298557999,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.17451142,-0.147420841,0.27830768,-0.30041647,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.169334463,-0.235697851,-0.291307213,-0.303683579,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.164108675,-0.262911837,-0.423957811,-0.308025128,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.158835564,-0.199239329,0.014673065,-0.312038319,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.15351665,-0.098373982,0.632682094,-0.314540733,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.148153468,-0.048162282,0.872351132,-0.315656717,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.142747562,-0.089839294,0.522992897,-0.316702362,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.137300493,-0.18011876,-0.085270326,-0.318974818,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.131813832,-0.230991717,-0.384953364,-0.32255905,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.126289159,-0.190642972,-0.092891969,-0.326249094,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.120728069,-0.091091211,0.529470627,-0.328656213,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.115132165,-0.018752626,0.916501278,-0.329485117,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.109503061,-0.034991745,0.718460382,-0.329804898,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.10384238,-0.119704647,0.123089397,-0.331065585,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.098151754,-0.189803909,-0.316963224,-0.333764488,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.092432824,-0.175610299,-0.192213455,-0.336988501,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.08668724,-0.084917048,0.387208389,-0.33925315,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.080916658,0.004173694,0.892835905,-0.339866988,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.075122743,0.015056092,0.863758546,-0.339566905,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.069307165,-0.056949852,0.330400713,-0.339840263,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.063471601,-0.140297067,-0.213432312,-0.341557069,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.057617733,-0.152992999,-0.264540538,-0.344169772,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.051747251,-0.077984736,0.227045439,-0.346216385,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.045861847,0.021161071,0.812135759,-0.346664353,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.039963217,0.058699542,0.955375999,-0.345859638,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.034053064,0.005539451,0.527459977,-0.345208424,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.028133091,-0.084011995,-0.075977403,-0.345884084,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.022205005,-0.122180522,-0.298096693,-0.347748223,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.016270516,-0.068425616,0.067197991,-0.349477776,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.010331335,0.033285141,0.685782087,-0.349781319,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
-0.004389174,0.09489809,0.990509209,-0.348586306,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
0.001554251,0.065228052,0.702648333,-0.347105714,-0.106010448,0.198847461,-0.283899484,-0.578044135,23234
0.007497229,-0.022983833,0.088152677,-0.346722802,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.013438045,-0.083173732,-0.286852094,-0.347719342,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.019374985,-0.054543084,-0.076557271,-0.34901658,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.025306339,0.042041909,0.526597499,-0.349167086,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.031230395,0.123232999,0.968855509,-0.347685585,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.037145445,0.119828313,0.844267225,-0.345495219,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.043049784,0.040394668,0.267920998,-0.344078939,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.048941708,-0.036610289,-0.2298663,-0.344116243,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.05481952,-0.034973248,-0.191118038,-0.344858624,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.060681523,0.049203042,0.348742488,-0.344817953,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.066526028,0.143915096,0.893461825,-0.343134889,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.072351349,0.167456814,0.942211098,-0.340369212,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.078155806,0.103538143,0.450047232,-0.337985449,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.083937726,0.01626053,-0.130765243,-0.337006704,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.089695441,-0.008819185,-0.266562871,-0.337074361,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.095427291,0.056649127,0.167070168,-0.336778153,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.101131622,0.157742386,0.7709158,-0.334953146,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.106806791,0.206758807,0.989162327,-0.33175119,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.112451161,0.163849006,0.620416093,-0.328501743,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.118063103,0.073651836,0.002862781,-0.326490046,-0.064075573,0.142938016,-0.315630128,-0.455141564,23234
0.123640999,0.024252134,-0.296658077,-0.325775965,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.129183242,0.066194443,-0.003801927,-0.325139467,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.134688233,0.166011111,0.611050491,-0.323202855,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.140154384,0.23699083,0.98138072,-0.319697983,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.145580119,0.218899151,0.765387805,-0.315713375,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.150963874,0.133356312,0.160239258,-0.312694062,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.156304096,0.063958251,-0.27920311,-0.311113662,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.161599245,0.079417461,-0.15051985,-0.310039604,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.166847794,0.170387625,0.426284266,-0.307991218,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.17204823,0.258055171,0.919112804,-0.304301766,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.177199053,0.26659872,0.872985402,-0.299732174,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.182298778,0.192897529,0.328345349,-0.2957722,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.187345934,0.109399327,-0.216123047,-0.293271538,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.192339066,0.097510852,-0.261981768,-0.291659418,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.197276733,0.172751535,0.230700056,-0.289470198,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.202157513,0.270483684,0.80663466,-0.285691717,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.206979997,0.305338771,0.933905893,-0.280696745,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.211742795,0.249703569,0.49301127,-0.275901154,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.216444533,0.159106346,-0.113267187,-0.272463085,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.221083856,0.121163173,-0.330178058,-0.270219102,-0.019799882,-0.077416629,-0.320715893,-0.340224018,23234
0.225659426,0.175022862,0.038964417,-0.267835406,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.230169924,0.275372502,0.651949212,-0.264035108,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.234614048,0.334096727,0.942296631,-0.258773194,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.238990517,0.30128938,0.640078013,-0.253278929,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.243298069,0.211135829,0.020087812,-0.24892672,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.247535463,0.150481934,-0.350800235,-0.245973551,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.251701475,0.178987225,-0.13481326,-0.243323794,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.255794906,0.27427308,0.46617488,-0.239537621,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.259814573,0.352496424,0.896246479,-0.234155897,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.263759319,0.345433579,0.756549157,-0.228123438,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.267628005,0.263203737,0.171999916,-0.222921511,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.271419517,0.184964372,-0.323561934,-0.21920713,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.27513276,0.186133199,-0.278183123,-0.216210197,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.278766664,0.269048473,0.262680904,-0.212442727,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.282320181,0.36081822,0.797958608,-0.207068123,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.285792287,0.38033582,0.831646326,-0.200671576,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.289181979,0.312848119,0.328832884,-0.194723302,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.292488281,0.223518487,-0.252202084,-0.190228102,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.29571024,0.197515023,-0.381327153,-0.186802842,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.298846925,0.261706515,0.05604169,-0.183030004,0.07767312,-0.01918929,-0.294258921,-0.153937034,23234
0.301897433,0.359958552,0.653594232,-0.177762266,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.304860884,0.404742407,0.857686987,-0.171178672,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.307736424,0.357607739,0.476361702,-0.164621368,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.310523222,0.264532873,-0.144167866,-0.159362995,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.313220476,0.213651778,-0.437822008,-0.155438002,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.315827408,0.254223362,-0.139104857,-0.151612356,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.318343266,0.351342348,0.472801234,-0.146519506,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.320767324,0.41803033,0.830715978,-0.139918188,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.323098883,0.395202654,0.600925419,-0.132915665,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.325337272,0.305989933,-0.010001648,-0.126951144,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.327481845,0.23447125,-0.445130721,-0.122474016,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.329531982,0.248371643,-0.309203227,-0.118532144,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.331487094,0.336795453,0.267965953,-0.113648709,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.333346616,0.420243191,0.750841083,-0.107181467,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.335110012,0.423702493,0.690536074,-0.0999147,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.336776773,0.345613642,0.137519706,-0.093339645,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.338346419,0.259303099,-0.404783699,-0.088284948,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.339818498,0.245567052,-0.442838829,-0.08415632,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.341192584,0.318387358,0.053247987,-0.079484432,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.342468282,0.412076295,0.622246147,-0.073277328,0.218838157,0.317255669,-0.236001382,0.099480643,23234
0.343645223,0.441669189,0.735855544,-0.065933952,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.344723069,0.381040206,0.284424739,-0.058878887,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.345701508,0.286922008,-0.322234513,-0.05325414,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.346580259,0.246745723,-0.531624788,-0.048870725,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.347359067,0.298256908,-0.156525063,-0.044383962,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.348037709,0.394812225,0.452880671,-0.038531321,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.348615988,0.448262905,0.730962483,-0.031294736,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.349093738,0.40999814,0.4166836,-0.023918777,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.349470821,0.315637481,-0.206402043,-0.017767953,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.349747128,0.252282264,-0.570846425,-0.013073754,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.34992258,0.278434937,-0.347014973,-0.008723382,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.349997127,0.370212115,0.2538505,-0.003284419,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.349970745,0.443302798,0.673848116,0.003676648,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.349843444,0.430483502,0.521349923,0.011194291,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.34961526,0.343423226,-0.06893559,0.017790076,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.349286259,0.26195506,-0.559812271,0.022830359,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.348856535,0.260678073,-0.505490383,0.027107294,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.348326212,0.340371358,0.038557964,0.032108961,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.347695444,0.427277854,0.566601206,0.038649672,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.346964412,0.440916386,0.58761719,0.046119734,0.330258078,0.526563881,-0.150964305,0.340510024,23234
0.346133328,0.368075854,0.076738276,0.05304444,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.34520243,0.274961651,-0.501883871,0.058438354,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.344171987,0.246326952,-0.621815581,0.062709761,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.343042297,0.307551279,-0.178340268,0.067283749,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.341813685,0.401306962,0.415267226,0.073290441,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.340486505,0.440266233,0.607705211,0.08052443,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.33906114,0.387390297,0.216510981,0.087632096,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.337538002,0.289982983,-0.404182221,0.093354587,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.335917528,0.236200199,-0.689232077,0.097683685,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.334200188,0.274000201,-0.382074845,0.101867844,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.332386475,0.367051421,0.22939271,0.107262858,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.330476913,0.428136,0.577505858,0.114083855,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.328472053,0.399337967,0.336741823,0.121206012,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.326372473,0.305291419,-0.276994504,0.12719723,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.324178777,0.23053258,-0.704870952,0.131633324,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.321891599,0.24177814,-0.558914223,0.135486551,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.319511599,0.326586823,0.021290806,0.140230263,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.317039462,0.404798441,0.496936332,0.146482871,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.314475902,0.402233435,0.425370584,0.15343784,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.311821657,0.318893874,-0.132928639,0.159603793,0.349167153,0.301648856,-0.048958924,0.492032213,23234
0.309077493,0.22896223,-0.669955445,0.16417426,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.306244202,0.212599062,-0.697232595,0.167767741,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.3033226,0.282244494,-0.194913707,0.171857669,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.300313531,0.371181571,0.369971579,0.177416367,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.29721786,0.394876299,0.472904001,0.184019733,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.294036483,0.328698601,0.014116752,0.190235804,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.290770315,0.230567921,-0.589677896,0.194939962,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.287420298,0.187703196,-0.788410464,0.198347576,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.283987399,0.236435032,-0.404384152,0.201814684,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.280472608,0.328804403,0.204352993,0.206589966,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.276876938,0.376656866,0.47319723,0.212665429,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.273201426,0.33269228,0.150084628,0.218782498,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.269447131,0.233953296,-0.472761114,0.223587891,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.265615137,0.16776948,-0.827496386,0.226876592,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.261706549,0.191467916,-0.592729083,0.229779126,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.257722493,0.27966796,0.010996347,0.233720961,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.253664119,0.347617125,0.423967805,0.239110758,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.249532597,0.329113181,0.261903608,0.244963491,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.245329117,0.237371258,-0.330739382,0.249804924,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.241054893,0.15287501,-0.813577418,0.253025897,0.289064543,-0.184154495,0.057607931,0.545340244,23234
0.236711157,0.149381428,-0.747124898,0.255441272,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.232299162,0.226110137,-0.196854125,0.258539666,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.227820179,0.308462019,0.327000892,0.263113754,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.2232755,0.31660647,0.338552476,0.268530435,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.218666436,0.238878472,-0.177016602,0.273311875,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.213994316,0.142504566,-0.749829018,0.276493209,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.209260488,0.111796297,-0.857314749,0.278508643,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.204466315,0.170635813,-0.404658369,0.280791282,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.199613182,0.260519975,0.188029243,0.284454587,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.194702486,0.294349151,0.371960042,0.289267744,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.189735645,0.236507497,-0.025776866,0.293866963,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.184714091,0.135609306,-0.643240651,0.297008461,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.179639271,0.079804562,-0.916404408,0.298711128,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.174512649,0.115735588,-0.597717839,0.300238323,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.169335704,0.205655649,0.016297187,0.302935529,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.164109928,0.26213449,0.357668481,0.306992532,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.158836828,0.228442677,0.109165549,0.311268162,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.153517925,0.130709764,-0.50403919,0.314338731,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.148154753,0.0539023,-0.921391929,0.315806246,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.142748858,0.063707383,-0.762327134,0.316663618,0.219222942,-0.465639871,0.156524663,0.551578937,23234
0.137301798,0.14614167,-0.176156829,0.318381114,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.131815146,0.220409026,0.295207072,0.321553943,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.126290482,0.213185566,0.215484944,0.325354403,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.120729401,0.126034749,-0.344856238,0.328292258,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.115133505,0.033971405,-0.87338909,0.329584281,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.109504408,0.016494921,-0.886848404,0.329873793,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.103843735,0.084499353,-0.375442184,0.330638671,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.098153116,0.170258975,0.188146388,0.332832089,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.092434193,0.189696499,0.283342404,0.3360057,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.086688615,0.119684852,-0.1797059,0.338721389,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.080918039,0.019311618,-0.777517176,0.339873044,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.075124129,-0.02444429,-0.962623117,0.339703108,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.069308555,0.023320883,-0.566907669,0.339579306,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.063472996,0.113346924,0.043828438,0.340736811,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.057619133,0.157500802,0.306183768,0.343142311,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.051748654,0.109807318,-0.022854594,0.34552434,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.045863253,0.008720044,-0.642485568,0.346541982,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.039964627,-0.05823116,-0.984648711,0.346017465,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.034054476,-0.034913136,-0.736295898,0.345099378,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.028134505,0.051803573,-0.127205884,0.345206476,0.1826823,-0.320898327,0.237452901,0.555362317,23234
0.022206421,0.116750936,0.281273643,0.346723118,0.149716617,-0.019812331,0.292088012,0.545566312,23234
0.016271933,0.094768104,0.112326924,0.348645746,0.149716617,-0.019812331,0.292088012,0.545566312,23234
0.010332753,0.000611562,-0.479886832,0.349505442,0.149716617,-0.019812331,0.292088012,0.545566312,23234
0.004390593,-0.084610342,-0.95196638,0.348718357,0.149716617,-0.019812331,0.292088012,0.545566312,23234
-0.001552833,-0.088006463,-0.870868725,0.347122441,0.149716617,-0.019812331,0.292088012,0.545566312,23234
-0.007495811,-0.011917067,-0.312046571,0.346207001,0.149716617,-0.019812331,0.292088012,0.545566312,23234
-0.013436627,0.068239373,0.209922804,0.346743432,0.149716617,-0.019812331,0.292088012,0.545566312,23234
-0.019373569,0.07330715,0.214437755,0.348076023,0.149716617,-0.019812331,0.292088012,0.545566312,23234
-0.025304924,-0.006829712,-0.303264592,0.34872486,0.149716617,-0.019812331,0.292088012,0.545566312,23234
-0.031228982,-0.103945301,-0.867729195,0.347746525,0.149716617,-0.019812331,0.292088012,0.545566312,23234
-0.037144034,-0.134196836,-0.960414126,0.345601571,0.149716617,-0.019812331,0.292088012,0.545566312,23234
-0.294035713,-0.075207762,-0.4964355,0.343731218,0.149716617,-0.019812331,0.292088012,0.545566312,23234
